Cust_ID,year_in_current_job,home_ownership
14558,2 years,Home Mortgage
14258,n/a,Home Mortgage
13696,n/a,Home Mortgage
13740,n/a,Own Home
14412,10+ years,Home Mortgage
13622,10+ years,Rent
13886,9 years,Rent
14328,2 years,Home Mortgage
13503,10+ years,Rent
13764,10+ years,Own Home
14128,n/a,Rent
13997,n/a,Rent
13598,10+ years,Home Mortgage
13582,6 years,Rent
14260,5 years,Rent
14004,2 years,Home Mortgage
14320,10+ years,Own Home
13664,10+ years,Home Mortgage
14368,8 years,Own Home
13515,n/a,Own Home
14126,2 years,Rent
13975,< 1 year,Rent
13580,2 years,Home Mortgage
14399,8 years,Rent
14062,5 years,Home Mortgage
14221,2 years,Home Mortgage
14101,1 year,Rent
13548,10+ years,Home Mortgage
13800,1 year,Rent
13836,10+ years,Home Mortgage
14099,4 years,Home Mortgage
14190,1 year,Home Mortgage
14176,10+ years,Home Mortgage
13933,2 years,Home Mortgage
14524,4 years,Home Mortgage
13830,2 years,Home Mortgage
14410,n/a,Home Mortgage
14415,2 years,Home Mortgage
13579,10+ years,Rent
13964,n/a,Home Mortgage
14447,2 years,Rent
14543,6 years,Home Mortgage
14012,10+ years,Home Mortgage
13860,2 years,Rent
14359,10+ years,Rent
14417,6 years,Home Mortgage
14383,10+ years,Home Mortgage
13729,< 1 year,Home Mortgage
14169,10+ years,Home Mortgage
13903,n/a,Home Mortgage
13913,8 years,Rent
14079,10+ years,Rent
13567,10+ years,Home Mortgage
14534,n/a,Home Mortgage
14479,3 years,Rent
14024,10+ years,Home Mortgage
14147,2 years,Rent
13646,< 1 year,Rent
14326,3 years,Rent
14110,10+ years,Home Mortgage
14106,4 years,Rent
13620,10+ years,Home Mortgage
14019,10+ years,Home Mortgage
13967,n/a,Rent
13635,< 1 year,Rent
13799,n/a,Rent
13568,1 year,Own Home
14436,< 1 year,Home Mortgage
14406,< 1 year,Rent
14309,10+ years,Home Mortgage
13644,10+ years,Home Mortgage
14165,2 years,Rent
14037,6 years,Rent
13574,10+ years,Home Mortgage
13992,7 years,Home Mortgage
14548,1 year,Rent
14023,5 years,Home Mortgage
13673,2 years,Rent
13831,10+ years,Rent
13773,3 years,Rent
13570,7 years,Home Mortgage
13856,7 years,Rent
13603,10+ years,Home Mortgage
14005,10+ years,Rent
14283,2 years,Home Mortgage
14324,4 years,Home Mortgage
14360,2 years,Home Mortgage
14443,< 1 year,Rent
13747,< 1 year,Rent
13513,5 years,Rent
13660,4 years,Home Mortgage
14040,7 years,Rent
13611,1 year,Rent
13641,10+ years,Rent
13759,10+ years,Home Mortgage
14148,n/a,Home Mortgage
14488,10+ years,Home Mortgage
13711,1 year,Home Mortgage
14093,9 years,Home Mortgage
14472,10+ years,Home Mortgage
14217,10+ years,Rent
14265,10+ years,Home Mortgage
13510,10+ years,Rent
13519,10+ years,Home Mortgage
14036,8 years,Home Mortgage
14180,4 years,Rent
13819,10+ years,Own Home
14129,8 years,Rent
14381,4 years,Rent
13687,10+ years,Home Mortgage
13843,1 year,Home Mortgage
14095,10+ years,Home Mortgage
14331,< 1 year,Rent
14239,n/a,Rent
14205,9 years,Rent
14552,< 1 year,Rent
14473,1 year,Home Mortgage
13589,5 years,Home Mortgage
13502,8 years,Rent
13699,< 1 year,Rent
14064,9 years,Home Mortgage
14405,< 1 year,Rent
14310,n/a,Home Mortgage
14507,2 years,Rent
13855,10+ years,Rent
14377,5 years,Rent
14020,8 years,Rent
14088,4 years,Home Mortgage
13801,4 years,Rent
14458,4 years,Home Mortgage
14030,5 years,Own Home
14044,4 years,Rent
13861,10+ years,Rent
13634,4 years,Home Mortgage
14089,9 years,Rent
14053,6 years,Rent
13853,6 years,Rent
14028,10+ years,Home Mortgage
13703,3 years,Rent
13653,n/a,Home Mortgage
13822,10+ years,Rent
14090,10+ years,Home Mortgage
13976,5 years,Home Mortgage
14085,5 years,Home Mortgage
14329,n/a,Rent
14224,7 years,Own Home
13566,10+ years,Rent
14453,10+ years,Home Mortgage
13885,6 years,Rent
14198,4 years,Rent
14243,4 years,Own Home
14259,6 years,Home Mortgage
14151,< 1 year,Home Mortgage
14533,5 years,Home Mortgage
13891,9 years,Home Mortgage
14194,n/a,Home Mortgage
14179,5 years,Own Home
13655,4 years,Home Mortgage
13700,10+ years,Home Mortgage
14481,6 years,Rent
14536,2 years,Home Mortgage
14281,10+ years,Home Mortgage
14068,< 1 year,Home Mortgage
13639,8 years,Home Mortgage
13701,2 years,Own Home
13991,< 1 year,Home Mortgage
14550,4 years,Home Mortgage
14424,10+ years,Home Mortgage
13514,10+ years,Home Mortgage
14241,< 1 year,Rent
13824,3 years,Home Mortgage
13619,7 years,Home Mortgage
14556,4 years,Rent
13899,10+ years,Rent
13583,10+ years,Own Home
14011,< 1 year,Rent
13754,10+ years,Rent
14504,6 years,Home Mortgage
13746,10+ years,Home Mortgage
13929,10+ years,Rent
14287,4 years,Rent
14302,< 1 year,Rent
14474,2 years,Home Mortgage
14317,3 years,Home Mortgage
14500,9 years,Home Mortgage
13760,10+ years,Rent
14540,10+ years,Home Mortgage
13540,4 years,Home Mortgage
13667,1 year,Home Mortgage
13612,< 1 year,Rent
14305,10+ years,Home Mortgage
14045,4 years,Home Mortgage
13909,n/a,Own Home
14411,10+ years,Home Mortgage
14156,n/a,Home Mortgage
14348,3 years,Home Mortgage
14420,10+ years,Rent
13820,10+ years,Home Mortgage
14384,2 years,Rent
14087,6 years,Rent
13501,10+ years,Home Mortgage
13728,10+ years,Rent
14039,10+ years,Rent
14289,7 years,Home Mortgage
14177,9 years,Home Mortgage
13834,< 1 year,Home Mortgage
13804,4 years,Home Mortgage
13650,10+ years,Own Home
14307,2 years,Rent
13922,n/a,Rent
14280,7 years,Home Mortgage
14244,2 years,Home Mortgage
13870,9 years,Rent
14346,10+ years,Rent
14182,1 year,Rent
13840,< 1 year,Rent
14076,4 years,Home Mortgage
14025,10+ years,Rent
13623,10+ years,Home Mortgage
14050,10+ years,Home Mortgage
14236,3 years,Home Mortgage
13956,6 years,Home Mortgage
14414,10+ years,Home Mortgage
14478,7 years,Rent
13765,10+ years,Rent
13739,10+ years,Rent
13829,6 years,Home Mortgage
13516,5 years,Home Mortgage
13904,7 years,Home Mortgage
13779,5 years,Rent
13924,5 years,Rent
13531,10+ years,Home Mortgage
13512,5 years,Home Mortgage
14297,< 1 year,Rent
14171,6 years,Own Home
13810,10+ years,Rent
14092,n/a,Own Home
13927,10+ years,Own Home
13722,5 years,Rent
13550,10+ years,Home Mortgage
13697,10+ years,Rent
14270,3 years,Rent
14206,3 years,Rent
13969,2 years,Rent
13872,7 years,Home Mortgage
14403,9 years,Rent
13983,10+ years,Rent
13878,10+ years,Home Mortgage
14308,3 years,Home Mortgage
14312,< 1 year,Rent
13631,5 years,Rent
14435,8 years,Rent
14038,10+ years,Home Mortgage
13887,6 years,Home Mortgage
13993,3 years,Own Home
13559,3 years,Home Mortgage
13668,2 years,Home Mortgage
13784,10+ years,Home Mortgage
14347,9 years,Home Mortgage
13638,9 years,Home Mortgage
13546,7 years,Rent
13908,10+ years,Own Home
13986,1 year,Home Mortgage
13718,< 1 year,Home Mortgage
14211,8 years,Home Mortgage
13917,3 years,Rent
14464,10+ years,Rent
14509,4 years,Home Mortgage
14245,9 years,Home Mortgage
14167,2 years,Home Mortgage
13562,10+ years,Rent
14499,3 years,Home Mortgage
13715,10+ years,Home Mortgage
13717,4 years,Rent
14213,10+ years,Rent
14495,3 years,Home Mortgage
13736,1 year,Rent
14168,10+ years,Home Mortgage
13682,10+ years,Home Mortgage
13713,2 years,Rent
13541,10+ years,Rent
13565,4 years,Rent
14295,1 year,Rent
13551,< 1 year,Home Mortgage
13694,9 years,Own Home
13652,6 years,Rent
14007,< 1 year,Home Mortgage
14083,10+ years,Home Mortgage
13581,10+ years,Rent
14445,8 years,Rent
14300,10+ years,Home Mortgage
13882,< 1 year,Home Mortgage
13953,< 1 year,Own Home
13811,10+ years,Home Mortgage
13848,8 years,Own Home
14153,3 years,Rent
13766,5 years,Rent
14557,1 year,Own Home
14120,5 years,Home Mortgage
14140,2 years,Rent
13821,< 1 year,Rent
14127,3 years,Rent
13926,5 years,Home Mortgage
13507,< 1 year,Own Home
14006,7 years,Home Mortgage
14342,5 years,Rent
14225,7 years,Home Mortgage
14098,2 years,Own Home
14460,8 years,Home Mortgage
13596,10+ years,Rent
13835,< 1 year,Own Home
13762,10+ years,Rent
13970,1 year,Rent
13681,5 years,Home Mortgage
13733,1 year,Rent
14055,5 years,Home Mortgage
13597,3 years,Home Mortgage
13973,10+ years,Home Mortgage
14375,4 years,Home Mortgage
14442,3 years,Own Home
13509,3 years,Rent
14200,10+ years,Home Mortgage
13609,1 year,Rent
13557,1 year,Rent
13825,10+ years,Own Home
14261,10+ years,Rent
14067,7 years,Rent
13772,8 years,Home Mortgage
14269,10+ years,Rent
13686,10+ years,Home Mortgage
13865,3 years,Rent
14390,2 years,Home Mortgage
14218,5 years,Home Mortgage
14497,3 years,Own Home
13972,5 years,Rent
14196,4 years,Home Mortgage
14189,4 years,Home Mortgage
14400,1 year,Rent
13752,9 years,Own Home
13575,5 years,Home Mortgage
13961,10+ years,Home Mortgage
13925,10+ years,Home Mortgage
14277,1 year,Rent
14249,5 years,Rent
13749,10+ years,Home Mortgage
14041,n/a,Home Mortgage
14139,10+ years,Home Mortgage
13743,4 years,Rent
13523,8 years,Home Mortgage
14293,1 year,Rent
13676,3 years,Rent
13915,3 years,Home Mortgage
14334,10+ years,Home Mortgage
14032,10+ years,Home Mortgage
14248,10+ years,Home Mortgage
14228,4 years,Rent
13847,5 years,Rent
14407,7 years,Home Mortgage
13794,5 years,Rent
13704,8 years,Rent
14330,8 years,Home Mortgage
13806,2 years,Rent
13737,3 years,Home Mortgage
14467,3 years,Rent
14065,< 1 year,Own Home
13951,10+ years,Home Mortgage
13706,10+ years,Own Home
13584,< 1 year,Rent
13963,7 years,Home Mortgage
14494,3 years,Home Mortgage
14463,2 years,Rent
13727,7 years,Home Mortgage
13744,7 years,Home Mortgage
13890,2 years,Rent
14518,10+ years,Rent
14146,3 years,Rent
14235,3 years,Rent
13980,9 years,Rent
13939,8 years,Rent
13552,10+ years,Home Mortgage
14503,7 years,Home Mortgage
14115,10+ years,Home Mortgage
14350,3 years,Own Home
14144,10+ years,Home Mortgage
14253,n/a,Own Home
14097,n/a,Own Home
13999,5 years,Rent
14052,4 years,Rent
13946,10+ years,Home Mortgage
13504,5 years,Own Home
14273,1 year,Rent
14274,10+ years,Home Mortgage
14240,3 years,Home Mortgage
13783,10+ years,Home Mortgage
13942,3 years,Home Mortgage
14209,3 years,Rent
13689,2 years,Home Mortgage
13561,10+ years,Home Mortgage
14100,3 years,Rent
13679,3 years,Rent
14428,2 years,Rent
14207,5 years,Rent
14009,10+ years,Rent
14378,10+ years,Own Home
14292,2 years,Rent
13753,2 years,Rent
14354,3 years,Rent
14014,10+ years,Home Mortgage
14466,10+ years,Own Home
14108,3 years,Rent
13663,2 years,Rent
14452,10+ years,Home Mortgage
14111,6 years,Rent
14220,3 years,Rent
14397,10+ years,Rent
14470,6 years,Home Mortgage
13947,10+ years,Home Mortgage
14058,4 years,Home Mortgage
14119,10+ years,Rent
14141,9 years,Rent
13614,5 years,Rent
13805,3 years,Home Mortgage
14046,9 years,Own Home
13725,3 years,Rent
14529,10+ years,Home Mortgage
14166,10+ years,Rent
14446,10+ years,Own Home
14114,5 years,Rent
14425,8 years,Rent
13688,8 years,Home Mortgage
13593,2 years,Home Mortgage
14294,10+ years,Rent
13563,2 years,Rent
14282,< 1 year,Home Mortgage
14278,2 years,Home Mortgage
13851,9 years,Home Mortgage
14163,2 years,Rent
13554,10+ years,Own Home
13683,10+ years,Home Mortgage
13691,2 years,Rent
13586,5 years,Home Mortgage
13585,10+ years,Home Mortgage
14013,< 1 year,Rent
14051,10+ years,Home Mortgage
13778,10+ years,Home Mortgage
13592,10+ years,Home Mortgage
14159,10+ years,Home Mortgage
13965,3 years,Rent
14214,5 years,Home Mortgage
14132,7 years,Rent
13888,n/a,Home Mortgage
13684,3 years,Home Mortgage
13748,10+ years,Home Mortgage
14174,6 years,Home Mortgage
14216,10+ years,Home Mortgage
13828,2 years,Rent
13654,8 years,Home Mortgage
14304,5 years,Home Mortgage
13533,10+ years,Home Mortgage
14208,7 years,Rent
14125,3 years,Home Mortgage
13741,5 years,Home Mortgage
14104,7 years,Own Home
13535,8 years,Rent
13808,9 years,Rent
14152,10+ years,Home Mortgage
13918,3 years,Own Home
13900,10+ years,Home Mortgage
14439,10+ years,Rent
13560,8 years,Home Mortgage
13577,2 years,Home Mortgage
13866,8 years,Own Home
14000,7 years,Home Mortgage
13591,10+ years,Rent
13883,10+ years,Home Mortgage
13813,10+ years,Rent
14246,3 years,Rent
14170,9 years,Home Mortgage
14197,10+ years,Own Home
13659,4 years,Home Mortgage
14485,10+ years,Home Mortgage
13910,8 years,Rent
14185,10+ years,Rent
14541,10+ years,Home Mortgage
14252,10+ years,Home Mortgage
14158,10+ years,Rent
14440,1 year,Home Mortgage
13985,7 years,Rent
14545,10+ years,Home Mortgage
13895,10+ years,Rent
14184,10+ years,Rent
13837,9 years,Rent
14078,10+ years,Rent
13712,< 1 year,Home Mortgage
14042,5 years,Rent
13803,4 years,Home Mortgage
14074,10+ years,Home Mortgage
14187,n/a,Home Mortgage
13547,10+ years,Home Mortgage
14008,6 years,Home Mortgage
14018,2 years,Home Mortgage
14493,9 years,Home Mortgage
13902,5 years,Home Mortgage
13649,10+ years,Home Mortgage
13790,n/a,Home Mortgage
13643,10+ years,Home Mortgage
14210,7 years,Home Mortgage
13987,10+ years,Home Mortgage
14327,1 year,Rent
14523,< 1 year,Rent
14238,10+ years,Rent
14142,8 years,Home Mortgage
13661,n/a,Home Mortgage
13707,10+ years,Home Mortgage
13857,3 years,Home Mortgage
14395,3 years,Home Mortgage
14337,9 years,Rent
13621,10+ years,Home Mortgage
14288,8 years,Home Mortgage
14338,2 years,Rent
13864,5 years,Home Mortgage
13812,3 years,Home Mortgage
13527,2 years,Rent
13651,2 years,Home Mortgage
14419,1 year,Rent
14480,10+ years,Rent
13506,< 1 year,Rent
13738,3 years,Own Home
13604,5 years,Home Mortgage
14296,10+ years,Home Mortgage
