Cust_ID,year_in_current_job,home_ownership
13556,7 years,Rent
14059,1 year,Home Mortgage
14515,2 years,Own Home
13945,1 year,Home Mortgage
14352,10+ years,Rent
13610,10+ years,Home Mortgage
14339,10+ years,Rent
14003,4 years,Home Mortgage
13854,3 years,Own Home
14468,2 years,Home Mortgage
14229,< 1 year,Home Mortgage
14362,10+ years,Home Mortgage
13898,1 year,Home Mortgage
13576,10+ years,Home Mortgage
14034,10+ years,Home Mortgage
13798,< 1 year,Home Mortgage
14471,10+ years,Home Mortgage
14335,< 1 year,Home Mortgage
13767,10+ years,Own Home
13774,10+ years,Home Mortgage
13893,10+ years,Rent
14535,3 years,Home Mortgage
14033,7 years,Home Mortgage
14398,1 year,Home Mortgage
14134,7 years,Home Mortgage
13545,5 years,Home Mortgage
14365,3 years,Rent
13608,10+ years,Home Mortgage
14505,4 years,Home Mortgage
13786,2 years,Home Mortgage
13989,10+ years,Home Mortgage
14035,2 years,Home Mortgage
14223,10+ years,Rent
13858,10+ years,Home Mortgage
13658,5 years,Home Mortgage
13944,10+ years,Home Mortgage
13869,10+ years,Rent
13877,5 years,Own Home
13525,< 1 year,Home Mortgage
13788,10+ years,Home Mortgage
14402,8 years,Rent
13672,10+ years,Rent
13852,7 years,Home Mortgage
14343,< 1 year,Rent
13657,n/a,Home Mortgage
14267,< 1 year,Rent
14416,< 1 year,Rent
13757,1 year,Rent
14272,9 years,Rent
14336,10+ years,Rent
14542,5 years,Home Mortgage
14222,2 years,Home Mortgage
13844,10+ years,Rent
13867,3 years,Rent
14049,2 years,Rent
13607,3 years,Rent
14162,10+ years,Rent
13633,10+ years,Home Mortgage
14124,10+ years,Home Mortgage
14186,2 years,Home Mortgage
13966,10+ years,Own Home
14069,2 years,Home Mortgage
14237,3 years,Own Home
13534,3 years,Own Home
13555,1 year,Home Mortgage
13775,2 years,Rent
13714,1 year,Home Mortgage
13675,10+ years,Home Mortgage
13817,2 years,Home Mortgage
13791,10+ years,Own Home
14021,7 years,Rent
14510,2 years,Home Mortgage
13630,10+ years,Home Mortgage
14516,5 years,Home Mortgage
13935,8 years,Own Home
13792,8 years,Home Mortgage
13923,1 year,Rent
14121,1 year,Own Home
13544,10+ years,Home Mortgage
13770,10+ years,Rent
13881,10+ years,Home Mortgage
13755,7 years,Home Mortgage
14508,10+ years,Home Mortgage
13912,9 years,Home Mortgage
13876,10+ years,Home Mortgage
13530,< 1 year,Rent
13960,8 years,Rent
13971,2 years,Rent
14483,5 years,Home Mortgage
14426,6 years,Rent
14544,n/a,Rent
13695,3 years,Rent
14380,10+ years,Home Mortgage
13874,4 years,Own Home
13796,6 years,Home Mortgage
14202,10+ years,Rent
14404,7 years,Own Home
13627,2 years,Rent
13670,2 years,Rent
14161,10+ years,Rent
13977,2 years,Rent
13761,5 years,Rent
14370,10+ years,Home Mortgage
14313,3 years,Home Mortgage
14409,5 years,Home Mortgage
13758,10+ years,Home Mortgage
13662,10+ years,Home Mortgage
13906,10+ years,Home Mortgage
13549,8 years,Home Mortgage
13624,10+ years,Home Mortgage
13647,n/a,Home Mortgage
14094,10+ years,Home Mortgage
14181,8 years,Own Home
13996,< 1 year,Home Mortgage
14264,n/a,Home Mortgage
14001,3 years,Home Mortgage
13529,9 years,Home Mortgage
13520,3 years,Home Mortgage
13569,10+ years,Home Mortgage
13588,2 years,Own Home
13537,5 years,Home Mortgage
13590,8 years,Rent
14382,10+ years,Rent
13958,10+ years,Home Mortgage
13920,10+ years,Rent
14275,2 years,Home Mortgage
14242,2 years,Rent
13769,4 years,Rent
14285,10+ years,Home Mortgage
13625,8 years,Rent
14105,5 years,Home Mortgage
14193,3 years,Rent
14113,10+ years,Home Mortgage
14512,< 1 year,Home Mortgage
13863,10+ years,Rent
13962,10+ years,Rent
14490,3 years,Rent
14379,2 years,Rent
13526,2 years,Rent
14138,7 years,Home Mortgage
13599,4 years,Home Mortgage
14387,10+ years,Home Mortgage
14438,10+ years,Own Home
14116,1 year,Home Mortgage
13522,7 years,Rent
14157,10+ years,Home Mortgage
14026,10+ years,Rent
14396,8 years,Own Home
13780,< 1 year,Rent
14530,2 years,Home Mortgage
14263,10+ years,Home Mortgage
13508,10+ years,Home Mortgage
14301,5 years,Rent
14084,8 years,Home Mortgage
14022,10+ years,Own Home
13709,7 years,Home Mortgage
14455,< 1 year,Home Mortgage
14449,6 years,Home Mortgage
14423,10+ years,Rent
13745,10+ years,Home Mortgage
13914,1 year,Rent
14432,2 years,Rent
14173,< 1 year,Own Home
14268,10+ years,Home Mortgage
14215,10+ years,Home Mortgage
13645,< 1 year,Home Mortgage
14537,1 year,Rent
14392,10+ years,Rent
13930,3 years,Rent
13907,10+ years,Home Mortgage
14517,10+ years,Home Mortgage
14376,7 years,Home Mortgage
14257,1 year,Rent
14201,7 years,Rent
13528,1 year,Rent
14234,< 1 year,Home Mortgage
13605,1 year,Home Mortgage
13517,10+ years,Home Mortgage
14102,10+ years,Home Mortgage
13721,10+ years,Rent
14063,10+ years,Home Mortgage
13571,10+ years,Rent
14437,2 years,Own Home
13669,2 years,Home Mortgage
14366,4 years,Rent
13921,10+ years,Home Mortgage
14227,4 years,Home Mortgage
14341,6 years,Rent
13816,n/a,Rent
14160,5 years,Home Mortgage
14450,n/a,Home Mortgage
14321,3 years,Home Mortgage
14538,5 years,Rent
13636,6 years,Rent
14427,< 1 year,Home Mortgage
13677,2 years,Rent
14071,7 years,Home Mortgage
14369,< 1 year,Home Mortgage
14385,2 years,Home Mortgage
13692,9 years,Home Mortgage
14291,1 year,Rent
13674,< 1 year,Rent
13768,9 years,Home Mortgage
14299,3 years,Home Mortgage
13735,4 years,Home Mortgage
14546,10+ years,Rent
14511,2 years,Rent
13665,10+ years,Home Mortgage
14091,< 1 year,Rent
14027,2 years,Rent
13742,10+ years,Home Mortgage
13719,1 year,Home Mortgage
13826,10+ years,Rent
14251,< 1 year,Home Mortgage
13734,10+ years,Home Mortgage
14319,10+ years,Home Mortgage
14433,4 years,Rent
14333,10+ years,Own Home
14031,3 years,Home Mortgage
14389,4 years,Home Mortgage
13932,< 1 year,Rent
13678,3 years,Own Home
13814,6 years,Home Mortgage
14522,9 years,Rent
14298,7 years,Home Mortgage
14547,4 years,Rent
14393,n/a,Home Mortgage
13756,10+ years,Home Mortgage
13618,n/a,Home Mortgage
13849,9 years,Rent
13934,8 years,Rent
14230,10+ years,Home Mortgage
13671,3 years,Home Mortgage
14487,< 1 year,Rent
14496,5 years,Home Mortgage
13789,3 years,Rent
14061,10+ years,Own Home
14501,5 years,Home Mortgage
13642,7 years,Home Mortgage
13680,2 years,Rent
14250,2 years,Rent
14506,n/a,Home Mortgage
13532,7 years,Rent
14444,8 years,Home Mortgage
14254,n/a,Home Mortgage
14476,8 years,Home Mortgage
14017,10+ years,Own Home
13710,10+ years,Rent
13702,2 years,Home Mortgage
14311,8 years,Home Mortgage
13637,8 years,Rent
14154,4 years,Rent
14130,< 1 year,Rent
13897,2 years,Home Mortgage
13601,1 year,Home Mortgage
13723,4 years,Rent
14498,1 year,Rent
13776,8 years,Rent
14351,9 years,Home Mortgage
14143,10+ years,Home Mortgage
14077,6 years,Rent
13690,n/a,Home Mortgage
14345,6 years,Home Mortgage
13818,2 years,Home Mortgage
14482,2 years,Home Mortgage
13994,6 years,Rent
14081,10+ years,Own Home
14178,6 years,Own Home
14418,n/a,Rent
13905,n/a,Rent
14486,3 years,Rent
14107,10+ years,Rent
13793,10+ years,Own Home
13894,n/a,Own Home
13957,6 years,Rent
14367,2 years,Home Mortgage
13919,7 years,Home Mortgage
14358,n/a,Home Mortgage
13505,10+ years,Rent
13538,2 years,Home Mortgage
13698,6 years,Rent
14371,10+ years,Home Mortgage
13716,1 year,Rent
13536,10+ years,Home Mortgage
14514,5 years,Rent
14314,n/a,Rent
14553,< 1 year,Own Home
13500,10+ years,Rent
13572,5 years,Home Mortgage
14133,1 year,Rent
13558,1 year,Rent
13518,10+ years,Home Mortgage
14002,10+ years,Home Mortgage
14195,2 years,Rent
13553,9 years,Rent
14155,10+ years,Home Mortgage
13941,2 years,Rent
13833,1 year,Home Mortgage
14256,2 years,Rent
13613,4 years,Rent
13617,5 years,Rent
14388,10+ years,Home Mortgage
14015,9 years,Home Mortgage
13666,10+ years,Rent
13868,2 years,Rent
14430,10+ years,Home Mortgage
13879,6 years,Rent
13578,10+ years,Home Mortgage
13832,10+ years,Rent
13539,10+ years,Home Mortgage
13968,10+ years,Home Mortgage
14075,1 year,Rent
14364,10+ years,Home Mortgage
13873,2 years,Home Mortgage
14183,10+ years,Rent
14469,2 years,Rent
14135,10+ years,Rent
14096,10+ years,Own Home
13600,9 years,Rent
13815,5 years,Home Mortgage
13524,9 years,Rent
14219,10+ years,Home Mortgage
14231,10+ years,Home Mortgage
14303,n/a,Home Mortgage
13795,10+ years,Home Mortgage
13974,3 years,Home Mortgage
13838,10+ years,Own Home
13730,9 years,Home Mortgage
13785,6 years,Rent
13880,2 years,Rent
14117,8 years,Rent
13979,8 years,Rent
13845,9 years,Home Mortgage
14353,10+ years,Rent
13850,10+ years,Own Home
14532,10+ years,Home Mortgage
14526,n/a,Home Mortgage
13763,3 years,Home Mortgage
13841,1 year,Rent
14054,4 years,Home Mortgage
14056,10+ years,Rent
13875,10+ years,Home Mortgage
13708,7 years,Rent
14318,10+ years,Home Mortgage
14549,1 year,Home Mortgage
13797,3 years,Rent
13892,6 years,Rent
14255,3 years,Rent
14484,4 years,Home Mortgage
14290,9 years,Home Mortgage
14322,2 years,Rent
14429,10+ years,Home Mortgage
14226,6 years,Home Mortgage
14266,8 years,Home Mortgage
14203,2 years,Rent
14047,6 years,Home Mortgage
14363,10+ years,Home Mortgage
14528,< 1 year,Home Mortgage
13827,< 1 year,Rent
14525,1 year,Rent
14434,10+ years,Home Mortgage
13573,2 years,Rent
13978,1 year,Rent
13640,8 years,Rent
14332,4 years,Home Mortgage
14491,2 years,Rent
14559,3 years,Rent
14521,2 years,Rent
13936,2 years,Rent
13846,n/a,Own Home
13771,10+ years,Home Mortgage
14413,3 years,Rent
14325,10+ years,Home Mortgage
13823,10+ years,Home Mortgage
14531,8 years,Home Mortgage
13807,n/a,Home Mortgage
14519,4 years,Own Home
13606,7 years,Home Mortgage
14137,10+ years,Home Mortgage
14492,< 1 year,Home Mortgage
13901,5 years,Home Mortgage
14461,10+ years,Rent
14072,6 years,Rent
14477,9 years,Home Mortgage
14191,3 years,Home Mortgage
14306,10+ years,Rent
14527,5 years,Rent
14465,8 years,Rent
14188,n/a,Home Mortgage
14112,10+ years,Home Mortgage
14060,10+ years,Rent
13839,3 years,Rent
14080,7 years,Rent
14373,2 years,Home Mortgage
13705,< 1 year,Rent
13594,2 years,Rent
14431,10+ years,Rent
13916,1 year,Home Mortgage
14315,10+ years,Home Mortgage
13724,< 1 year,Rent
13543,2 years,Rent
13809,1 year,Rent
14082,10+ years,Rent
14212,3 years,Rent
13954,3 years,Rent
13685,10+ years,Home Mortgage
14457,2 years,Home Mortgage
14323,10+ years,Home Mortgage
14279,6 years,Rent
14070,3 years,Rent
14066,10+ years,Home Mortgage
14016,10+ years,Own Home
13896,10+ years,Rent
13949,8 years,Own Home
14233,4 years,Rent
14136,3 years,Rent
13871,n/a,Rent
14448,5 years,Rent
13931,1 year,Home Mortgage
14010,10+ years,Home Mortgage
13732,10+ years,Home Mortgage
13731,8 years,Rent
13940,6 years,Home Mortgage
13950,10+ years,Home Mortgage
13781,3 years,Home Mortgage
14462,3 years,Rent
13777,1 year,Rent
13802,< 1 year,Home Mortgage
14441,< 1 year,Home Mortgage
13615,1 year,Rent
13726,< 1 year,Rent
14131,10+ years,Rent
13884,10+ years,Rent
13511,10+ years,Home Mortgage
13751,n/a,Own Home
14554,10+ years,Home Mortgage
14551,10+ years,Home Mortgage
14555,8 years,Rent
14344,2 years,Home Mortgage
14271,10+ years,Home Mortgage
13955,1 year,Rent
14123,n/a,Home Mortgage
14276,10+ years,Home Mortgage
14489,4 years,Rent
13911,1 year,Own Home
13626,1 year,Own Home
14459,2 years,Rent
14422,10+ years,Home Mortgage
13629,10+ years,Home Mortgage
14502,5 years,Home Mortgage
13720,10+ years,Home Mortgage
13889,10+ years,Home Mortgage
14103,10+ years,Home Mortgage
13656,7 years,Rent
14164,10+ years,Own Home
13952,2 years,Rent
14204,< 1 year,Rent
14451,< 1 year,Home Mortgage
14109,3 years,Rent
14355,10+ years,Rent
14150,10+ years,Rent
14454,10+ years,Home Mortgage
14401,4 years,Home Mortgage
13564,10+ years,Home Mortgage
13990,10+ years,Home Mortgage
14122,4 years,Home Mortgage
14057,10+ years,Rent
14247,10+ years,Rent
13982,8 years,Home Mortgage
13842,5 years,Rent
14286,10+ years,Home Mortgage
13587,< 1 year,Home Mortgage
13984,9 years,Rent
14386,10+ years,Home Mortgage
14149,5 years,Rent
14073,n/a,Home Mortgage
14029,< 1 year,Home Mortgage
14175,10+ years,Home Mortgage
14539,4 years,Home Mortgage
14391,3 years,Rent
14316,3 years,Rent
13787,7 years,Rent
13542,3 years,Home Mortgage
13995,10+ years,Rent
14456,10+ years,Home Mortgage
14192,3 years,Home Mortgage
13988,2 years,Rent
14372,10+ years,Home Mortgage
14349,10+ years,Home Mortgage
14284,10+ years,Home Mortgage
14513,6 years,Home Mortgage
13616,3 years,Rent
14145,6 years,Rent
13782,10+ years,Home Mortgage
14048,4 years,Rent
14408,10+ years,Home Mortgage
14086,10+ years,Home Mortgage
14199,< 1 year,Rent
14232,2 years,Rent
14374,9 years,Home Mortgage
13998,10+ years,Home Mortgage
14520,10+ years,Rent
14172,10+ years,Own Home
13859,10+ years,Home Mortgage
13648,< 1 year,Home Mortgage
13862,5 years,Rent
13928,2 years,Rent
14357,< 1 year,Home Mortgage
14421,10+ years,Home Mortgage
13948,7 years,Home Mortgage
13595,8 years,Home Mortgage
14340,10+ years,Home Mortgage
13981,8 years,Home Mortgage
14361,5 years,Home Mortgage
14043,10+ years,Home Mortgage
14262,n/a,Rent
14394,1 year,Rent
13693,10+ years,Own Home
13959,2 years,Home Mortgage
13632,10+ years,Own Home
13943,9 years,Home Mortgage
13628,2 years,Home Mortgage
13938,10+ years,Rent
14356,2 years,Rent
13937,10+ years,Rent
13750,3 years,Rent
13602,10+ years,Own Home
14475,10+ years,Rent
13521,7 years,Home Mortgage
14118,< 1 year,Rent
